2025-02-17 11:57:27,919 - ERROR - this is error
2025-02-17 11:58:47,969 - INFO - this is kaustubh
2025-02-17 13:11:32,425 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:32,437 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:32,441 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:32,444 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:32,457 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:32,464 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:32,473 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:32,479 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:32,484 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:32,491 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:32,494 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:32,499 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:33,314 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:33,328 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:33,331 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:33,345 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:33,350 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:33,358 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:33,364 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:33,368 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:33,377 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:33,382 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:33,386 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:33,420 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:33,426 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:33,436 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:33,442 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:33,445 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:33,449 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:33,453 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:33,457 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:33,462 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:33,465 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:33,469 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:33,473 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:33,479 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:33,482 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:33,486 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:33,490 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:33,498 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:33,502 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:33,507 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:33,515 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:33,519 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:33,528 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:33,532 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:33,535 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:33,540 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:33,547 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:33,550 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:33,554 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:33,561 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:33,567 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:33,570 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:33,574 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:33,579 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:33,583 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:33,587 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:33,593 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:33,598 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:33,604 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:33,613 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:33,642 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:33,714 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:33,718 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:33,721 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:33,726 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:33,740 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:33,745 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:33,749 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:33,753 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:33,761 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:33,764 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:33,767 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:33,840 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:33,845 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:33,849 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:33,852 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:33,857 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:33,863 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:33,878 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:33,887 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:33,893 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:34,462 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:34,468 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:34,480 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:34,505 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:34,561 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:34,567 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:34,570 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:34,573 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:34,582 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:34,585 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:34,656 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:34,661 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:34,664 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:34,668 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:34,671 - ERROR - need 1, 3 or 4 color components in range 0 to 1
