page,table,mutual_fund_name,main_scheme_name,portfolio_data_0,portfolio_data_1,monthly_aaum_value,empty_col
10,tbl_0,Generali Central Life Insurance Fund,FUTURE PENSION ACTIVE FUND,SECURITIES,HOLDINGS,463.36,
10,tbl_0,Generali Central Life Insurance Fund,FUTURE PENSION ACTIVE FUND,EQUITY,99.55%,463.36,
10,tbl_0,Generali Central Life Insurance Fund,FUTURE PENSION ACTIVE FUND,HDFC Bank Ltd,6.83%,463.36,
10,tbl_0,Generali Central Life Insurance Fund,FUTURE PENSION ACTIVE FUND,Reliance Industries Ltd,6.52%,463.36,
10,tbl_0,Generali Central Life Insurance Fund,FUTURE PENSION ACTIVE FUND,SBI-ETF Nifty Bank,4.97%,463.36,
10,tbl_0,Generali Central Life Insurance Fund,FUTURE PENSION ACTIVE FUND,ICICI Bank Ltd,4.23%,463.36,
10,tbl_0,Generali Central Life Insurance Fund,FUTURE PENSION ACTIVE FUND,State Bank of India,4.18%,463.36,
10,tbl_0,Generali Central Life Insurance Fund,FUTURE PENSION ACTIVE FUND,Kotak Nifty PSU Bank ETF,3.98%,463.36,
10,tbl_0,Generali Central Life Insurance Fund,FUTURE PENSION ACTIVE FUND,Infosys Technologies Ltd.,3.84%,463.36,
10,tbl_0,Generali Central Life Insurance Fund,FUTURE PENSION ACTIVE FUND,Tata Consultancy Services Ltd,3.69%,463.36,
10,tbl_0,Generali Central Life Insurance Fund,FUTURE PENSION ACTIVE FUND,Kotak Mahindra Bank Ltd,3.06%,463.36,
10,tbl_0,Generali Central Life Insurance Fund,FUTURE PENSION ACTIVE FUND,Fusion Finance Ltd,3.05%,463.36,
10,tbl_0,Generali Central Life Insurance Fund,FUTURE PENSION ACTIVE FUND,UTI Nifty Bank ETF,2.94%,463.36,
10,tbl_0,Generali Central Life Insurance Fund,FUTURE PENSION ACTIVE FUND,Axis Bank Ltd,2.43%,463.36,
10,tbl_0,Generali Central Life Insurance Fund,FUTURE PENSION ACTIVE FUND,ITC Ltd,2.33%,463.36,
10,tbl_0,Generali Central Life Insurance Fund,FUTURE PENSION ACTIVE FUND,Genus Power Infrastrucure Ltd,1.97%,463.36,
10,tbl_0,Generali Central Life Insurance Fund,FUTURE PENSION ACTIVE FUND,ETERNAL Ltd (Zomato Ltd),1.94%,463.36,
10,tbl_0,Generali Central Life Insurance Fund,FUTURE PENSION ACTIVE FUND,Mahindra And Mahindra Ltd,1.91%,463.36,
10,tbl_0,Generali Central Life Insurance Fund,FUTURE PENSION ACTIVE FUND,Hindustan Petroleum Corporation Ltd,1.78%,463.36,
10,tbl_0,Generali Central Life Insurance Fund,FUTURE PENSION ACTIVE FUND,Anant Raj Ltd,1.60%,463.36,
10,tbl_0,Generali Central Life Insurance Fund,FUTURE PENSION ACTIVE FUND,Punjab National Bank,1.57%,463.36,
10,tbl_0,Generali Central Life Insurance Fund,FUTURE PENSION ACTIVE FUND,TRENT Ltd,1.52%,463.36,
10,tbl_0,Generali Central Life Insurance Fund,FUTURE PENSION ACTIVE FUND,Swiggy Ltd,1.50%,463.36,
10,tbl_0,Generali Central Life Insurance Fund,FUTURE PENSION ACTIVE FUND,Max Healthcare Institute Ltd,1.41%,463.36,
10,tbl_0,Generali Central Life Insurance Fund,FUTURE PENSION ACTIVE FUND,Nagarjuna Construction Co. Ltd,1.40%,463.36,
10,tbl_0,Generali Central Life Insurance Fund,FUTURE PENSION ACTIVE FUND,ICICI Prudential Nifty Bank ETF - NIFTY BANK INDEX,1.35%,463.36,
10,tbl_0,Generali Central Life Insurance Fund,FUTURE PENSION ACTIVE FUND,NTPC Ltd,1.30%,463.36,
10,tbl_0,Generali Central Life Insurance Fund,FUTURE PENSION ACTIVE FUND,Others,28.24%,463.36,


11,tbl_0,Generali Central Life Insurance Fund,FUTURE MAXIMISE FUND,PORTFOLIO AS ON 27-Feb-2026,,"8,422.91",
11,tbl_0,Generali Central Life Insurance Fund,FUTURE MAXIMISE FUND,SECURITIES,HOLDINGS,"8,422.91",
11,tbl_0,Generali Central Life Insurance Fund,FUTURE MAXIMISE FUND,MONEY MARKET INSTRUMENTS & NCA,,"8,422.91",
11,tbl_0,Generali Central Life Insurance Fund,FUTURE MAXIMISE FUND,SECURITIES,HOLDINGS,"8,422.91",
11,tbl_0,Generali Central Life Insurance Fund,FUTURE MAXIMISE FUND,GOVERNMENT SECURITIES,,"8,422.91",
11,tbl_0,Generali Central Life Insurance Fund,FUTURE MAXIMISE FUND,6.90% Gsec 15/04/2065,,"8,422.91",
11,tbl_0,Generali Central Life Insurance Fund,FUTURE MAXIMISE FUND,0% CS 19/12/2029,,"8,422.91",
11,tbl_0,Generali Central Life Insurance Fund,FUTURE MAXIMISE FUND,6.48% Govt. Stock 2035,,"8,422.91",
11,tbl_0,Generali Central Life Insurance Fund,FUTURE MAXIMISE FUND,SECURITIES,HOLDINGS,"8,422.91",
11,tbl_0,Generali Central Life Insurance Fund,FUTURE MAXIMISE FUND,CORPORATE DEBT,,"8,422.91",
11,tbl_0,Generali Central Life Insurance Fund,FUTURE MAXIMISE FUND,10.63% IOT Utkal Energy Services Ltd 2028 20/09/2028,,"8,422.91",
