Sector,Que. No.,Question,Helpful Key Point,Type
Environment,Q96,Does the company follow sustainble mining practices?,"Sustainable mining, mining, responsible mining ",Boolean
Environment,Q97,Does the company have tailing management system after mining?,mining,Boolean
Environment,Q217,"Does the Company have a publicly available policy in place for mining from conflict-affected areas and high-risk areas? If yes, provide details","Conflict-affected areas, high-risk areas ",Boolean
Environment,Q245,Does the company undertake initiatives or programs to raise awareness about sustainability challenges and opportunities in the natural rubber industry for suppliers?,"Supplier, natural rubber ",Boolean
Environment,Q233,What measures are in place to ensure public safety and security at facilities? How are potential security threats and emergencies addressed?,"Public safety, public security, security threat, emergencies ",Boolean
Environment,Q179,Is the company using low carbon vehicle and equipments in its ports to carry out operations?,ports,Boolean
Environment,Q18,Are the ESG related factors being monitored in investee companies/ lending processes? ,"ESG Factors, Investee",Boolean
Environment,Q22,Does the company lend towards Electric Vehicles (EVs)?,Electric Vehicles,Boolean
Environment,Q195,"Does the company have ESG related products/ services? (example ESG GREEN INDEX, FIN-tech products)",ESG GREEN INDEX,Boolean
Environment,Q197,Does the company integrate ESG aspects in its insurance underwriting process for non-life/ non-health insurance/ reinsurance?,"ESG, ESG in business operations",Boolean
Environment,Q198,Does your company offer ESG based products within its non-life/ non-health insurance business segment. (to check description and revenues from these products),"ESG Product, EV Insurance, Fire Insurance, Climate risk insurance  ",Boolean
Environment,Q236,Does the company participate in the GRESB for Real estate benchmark Assessment?,GRESB,Boolean
Environment,Q171,Is the company currently operating/deploying low-carbon fleet (Evs or other vehicles)in its logistics business or do they have a plan to shift current fleet to low carbon alternative fleet?,low carbon alternative,Boolean
Environment,Q147,Does the company have ELV (End-of-Life Vehicles) management?,"ELV, End-of-Life Vehicles ",Boolean
Environment,Q246,What steps are taken by the company to mitigate any potential health impacts of tyre and rubber product manufacturing on local communities?,health impacts ,Boolean
Environment,Q249,"Does the company have a strategy or initiative in place to encourage small forest owners and timber suppliers to adopt best practices for sustainable management in order to obtain certification from recognized systems such as PEFC, FSC, or equivalent?",forest owners,Boolean
Environment,Q250,"Does the Company have commitment in place integrating circular fashion into all its operations? If yes, provide the details.",integrating circular fashion,Boolean
Environment,Q154,"Does the company manufacture/sell sustainable apparel or garments? (Better Cotton Initiative, Global Organic Textile Standard - GOTS, Supima, Oeko-Tex certification,Fair Trade, STeP Certification)","sustainable apparel, sustainable garments ",Boolean
Environment,Q151,Is the company using sustainable material in its tyre ( also state the type of material used) or has commited to use sustainable materials in  tyres?,sustainable material ,Boolean
Environment,Q160,Is the company manufacturing sustainable/eco-friendly paint/coatings'?,"Eco-friendly paint, Sustainable paints ",Boolean
Environment,Q161,Is the company manufacturing any energy-efficient products or is spending on R&D for manufacturing such products in near future?,"Energy efficient, spending on R&D, research and development, R&D, energy-efficient ",Boolean
