mutual_fund_name,main_scheme_name,sfin,monthly_aum_value,aum_in_mil,portfolio_data_0,portfolio_data_1,page,table
SBI Life Insurance Fund,EQUITY OPTIMISER FUND,ULIF010210108EQTYOPTFND111),"2,621.53",,9 7.51% IRFC B & D 15-04-2026,0.95%,9,tbl_0
SBI Life Insurance Fund,EQUITY OPTIMISER FUND,ULIF010210108EQTYOPTFND111),"2,621.53",,7.37% PFC B & D 22-05-2026 230,0.95%,9,tbl_0
SBI Life Insurance Fund,EQUITY OPTIMISER FUND,ULIF010210108EQTYOPTFND111),"2,621.53",,Others,1.91%,9,tbl_0
SBI Life Insurance Fund,EQUITY OPTIMISER FUND,ULIF010210108EQTYOPTFND111),"2,621.53",,Total,13.39%,9,tbl_0
SBI Life Insurance Fund,EQUITY OPTIMISER FUND,ULIF010210108EQTYOPTFND111),"2,621.53",,Government Securities,% of AUM,9,tbl_0
SBI Life Insurance Fund,EQUITY OPTIMISER FUND,ULIF010210108EQTYOPTFND111),"2,621.53",,Total,0.00%,9,tbl_0
SBI Life Insurance Fund,EQUITY OPTIMISER FUND,ULIF010210108EQTYOPTFND111),"2,621.53",,Money Market,5.89%,9,tbl_0
SBI Life Insurance Fund,EQUITY OPTIMISER FUND,ULIF010210108EQTYOPTFND111),"2,621.53",,Grand Total,100%,9,tbl_0


SBI Life Insurance Fund,INDEX FUND,ULIF015070110INDEXULFND111),101.70,1017.0,ASSET CATEGORY,,10,tbl_0
SBI Life Insurance Fund,INDEX FUND,ULIF015070110INDEXULFND111),101.70,1017.0,Equity,% of AUM,10,tbl_0
SBI Life Insurance Fund,INDEX FUND,ULIF015070110INDEXULFND111),101.70,1017.0,1 HDFC Bank Ltd.,8.90%,10,tbl_0
SBI Life Insurance Fund,INDEX FUND,ULIF015070110INDEXULFND111),101.70,1017.0,2 Reliance Industries Ltd.,8.62%,10,tbl_0
SBI Life Insurance Fund,INDEX FUND,ULIF015070110INDEXULFND111),101.70,1017.0,3 ICICI Bank Ltd,8.50%,10,tbl_0
SBI Life Insurance Fund,INDEX FUND,ULIF015070110INDEXULFND111),101.70,1017.0,4 Infosys Limited,6.34%,10,tbl_0
SBI Life Insurance Fund,INDEX FUND,ULIF015070110INDEXULFND111),101.70,1017.0,5 Bharti Airtel Ltd.,4.79%,10,tbl_0
SBI Life Insurance Fund,INDEX FUND,ULIF015070110INDEXULFND111),101.70,1017.0,6 Larsen & Toubro Ltd.,4.60%,10,tbl_0
SBI Life Insurance Fund,INDEX FUND,ULIF015070110INDEXULFND111),101.70,1017.0,7 Tata Consultancy Services Ltd.,3.75%,10,tbl_0
SBI Life Insurance Fund,INDEX FUND,ULIF015070110INDEXULFND111),101.70,1017.0,8 Axis Bank Ltd.,3.42%,10,tbl_0
SBI Life Insurance Fund,INDEX FUND,ULIF015070110INDEXULFND111),101.70,1017.0,9 Mahindra & Mahindra Ltd.,2.78%,10,tbl_0
SBI Life Insurance Fund,INDEX FUND,ULIF015070110INDEXULFND111),101.70,1017.0,ITC Ltd.,2.77%,10,tbl_0
SBI Life Insurance Fund,INDEX FUND,ULIF015070110INDEXULFND111),101.70,1017.0,Others,45.26%,10,tbl_0
SBI Life Insurance Fund,INDEX FUND,ULIF015070110INDEXULFND111),101.70,1017.0,Total,99.72%,10,tbl_0
SBI Life Insurance Fund,INDEX FUND,ULIF015070110INDEXULFND111),101.70,1017.0,Money Market,0.28%,10,tbl_0
SBI Life Insurance Fund,INDEX FUND,ULIF015070110INDEXULFND111),101.70,1017.0,Grand Total,100%,10,tbl_0


SBI Life Insurance Fund,TOP 300 FUND,ULIF016070110TOP300-FND111),"1,980.69",,ASSET CATEGORY,,11,tbl_0
SBI Life Insurance Fund,TOP 300 FUND,ULIF016070110TOP300-FND111),"1,980.69",,Equity,% of AUM,11,tbl_0
SBI Life Insurance Fund,TOP 300 FUND,ULIF016070110TOP300-FND111),"1,980.69",,1 HDFC Bank Ltd.,7.85%,11,tbl_0
SBI Life Insurance Fund,TOP 300 FUND,ULIF016070110TOP300-FND111),"1,980.69",,2 ICICI Bank Ltd,7.85%,11,tbl_0
